					Vishwakarma Institute Of Information technology


							Student Wallet EpassBook

transaction_date 	 transaction_type 	to	  	 Credit_amount 	 Debit_amount
2023-04-28 20:01:19 	  deposit 		12		 100000 		 
2023-04-28 19:57:11 	  transfer 		22110173		  		 99
2023-04-28 15:14:03 	  transfer 		22110173		  		 34
2023-04-28 15:06:55 	  transfer 		22110173		  		 150
2023-04-28 15:05:43 	  transfer 		22110173		  		 99
2023-04-28 14:22:53 	  transfer 		22110173		  		 90
2023-04-28 12:18:52 	  transfer 		22110173		  		 10
2023-04-28 12:16:06 	  transfer 		22110173		  		 10
2023-04-28 12:15:45 	  transfer 		22110173		  		 12
2023-04-28 11:37:06 	  deposit 		2211156		 101 		 
2023-04-28 11:34:46 	  transfer 		22110173		  		 101
2023-04-28 11:34:20 	  transfer 		22110173		  		 98
2023-04-27 22:19:42 	  transfer 		22110173		  		 90
2023-04-27 21:55:55 	  transfer 		22110173		  		 90
2023-04-27 21:50:19 	  transfer 		22110173		  		 1000
2023-04-27 21:46:17 	  transfer 		22110173		  		 23
2023-04-27 21:45:59 	  transfer 		22110173		  		 15
2023-04-27 21:44:05 	  transfer 		22110173		  		 13
2023-04-27 21:43:11 	  transfer 		22110173		  		 12
2023-04-27 21:42:30 	  transfer 		22110173		  		 78
2023-04-27 20:29:01 	  transfer 		22110173		  		 14
2023-04-27 20:27:50 	  transfer 		22110173		  		 15
2023-04-27 20:27:22 	  transfer 		22110173		  		 13
2023-04-27 20:23:30 	  transfer 		22110173		  		 12
2023-04-27 20:21:09 	  transfer 		22110173		  		 100
2023-04-27 20:20:20 	  transfer 		22110173		  		 10
2023-04-27 20:19:25 	  transfer 		22110173		  		 10
2023-04-27 20:19:07 	  transfer 		22110173		  		 10
2023-04-27 20:16:31 	  transfer 		22110173		  		 10
2023-04-27 20:12:57 	  transfer 		22110173		  		 10
2023-04-27 20:09:59 	  transfer 		22110173		  		 70
2023-04-27 15:10:53 	  transfer 		22110173		  		 70
2023-04-27 15:05:28 	  transfer 		22110173		  		 1000
2023-04-27 15:04:38 	  transfer 		2211156		  		 100
2023-04-20 15:52:33 	  deposit 		2		 6000 		 
2023-04-20 15:52:11 	  deposit 		1		 5 		 
2023-04-20 15:48:44 	  transfer 		22110173		  		 10
